Salted, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,38,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,39,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,40,Checked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,41,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,25%,UnChecked,0,1,,,1
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,50%,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,60%,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,25%,Checked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",FALSE,1,TRUE,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",FALSE,1,FALSE,Checked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,4,MC,,How many letters are in the alphabet?,FALSE,1,11,Checked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,4,MC,,How many letters are in the alphabet?,FALSE,1,7,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,4,MC,,How many letters are in the alphabet?,FALSE,1,26,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,4,MC,,How many letters are in the alphabet?,FALSE,1,11010,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",FALSE,1,Disney sues you,UnChecked,1,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",FALSE,1,Paul Bettany joins you,UnChecked,1,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",FALSE,1,You have two ships,Checked,1,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,6,T/F,,Something can be both New and Improved,FALSE,1,TRUE,Checked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,6,T/F,,Something can be both New and Improved,FALSE,1,FALSE,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",FALSE,1,Answer for blank # 1,Bologna,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",FALSE,1,Answer for blank # 2,"Bologna, 2",0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,8,MC,,Is your answer to this question 'no'?,FALSE,1,yes,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,8,MC,,Is your answer to this question 'no'?,FALSE,1,no,Checked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,9,MC,,"In the word ""scent"", which letter is silent?",FALSE,1,s,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,9,MC,,"In the word ""scent"", which letter is silent?",FALSE,1,c,Checked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,9,MC,,"In the word ""scent"", which letter is silent?",FALSE,1,a,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,9,MC,,"In the word ""scent"", which letter is silent?",FALSE,1,p,UnChecked,0,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",FALSE,1,frozen yogurt,UnChecked,1,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",FALSE,1,a popsicle,UnChecked,1,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",FALSE,1,ice cream,Checked,1,1,,,
10000da665ba037fbf432951e0ac26088899860f3e268eb0b73c93dc5f3348a576ee6,1,1/16/2025 9:30,1/16/2025 9:32,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",FALSE,1,coca cola,UnChecked,1,1,,,
10031071b9cf8aa247324c97fb7242f9cab53c0417293e6fca3c9997dd0e0d5ec502d,1,1/16/2025 9:32,1/16/2025 9:34,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,38,UnChecked,0,1,,,
